Species,MaxLengthTL,Troph,K,eco_ind,country_name,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Pagrus auratus,130,3.59,0.1,0.3,Japan,61,JPN,392,64378.9,392,Northeastern Honshu,4,16094.725
Paralichthys olivaceus,103,3.72,0.15,0.3332199546485261,Japan,61,JPN,392,3394.9,392,Northeastern Honshu,4,848.725
Pseudocaranx dentex,122,3.92,0.17,0.39365079365079364,Japan,61,JPN,392,3101.3,392,Northeastern Honshu,4,775.325
Seriola quinqueradiata,150,3.96,0.33,0.5310657596371883,Japan,61,JPN,392,148134.6,392,Northeastern Honshu,4,37033.65
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,Japan,61,JPN,392,4273.1,392,Northeastern Honshu,4,1068.275
Thunnus orientalis,333,4.5,0.15,0.6395691609977324,Japan,61,JPN,392,12597.2,392,Northeastern Honshu,4,3149.3
Trachurus japonicus,50,3.4,0.31,0.34920634920634924,Japan,61,JPN,392,1215.2,392,Northeastern Honshu,4,303.8
Salmo salar,150,4.5,0.23,0.5487528344671202,"Korea, Dem. People's Rep",61,PRK,408,13.88888889,408,Sea of Japan/East Sea,1,13.88888889
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,"Korea, Dem. People's Rep",61,PRK,408,7.222222222,408,Southern China,1,7.222222222
Acanthopagrus schlegeli,NA,NA,NA,NA,"Korea, Republic of",61,KOR,410,1539.5,410,Yellow Sea,3,513.1666666666666
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,"Korea, Republic of",61,KOR,410,1798.2,410,Yellow Sea,3,599.4
Mugil cephalus,122,2.48,0.23,0.20589569160997734,"Korea, Republic of",61,KOR,410,5556.8,410,Yellow Sea,3,1852.2666666666667
Pagrus auratus,130,3.59,0.1,0.3,"Korea, Republic of",61,KOR,410,5484.2,410,Yellow Sea,3,1828.0666666666666
Paralichthys olivaceus,103,3.72,0.15,0.3332199546485261,"Korea, Republic of",61,KOR,410,42983.4,410,Yellow Sea,3,14327.800000000001
Sebastes schlegeli,NA,NA,NA,NA,"Korea, Republic of",61,KOR,410,24807.8,410,Yellow Sea,3,8269.266666666666
