country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg,status,Introduced,Native
Martinique,Rachycentron canadum,31,MTQ,474,10.125,474,Eastern Caribbean,1,10.125,Native,0,1
Bonaire/S.Eustatius/Saba,Rachycentron canadum,31,BES,535,0.116666667,535,Southern Caribbean,1,0.116666667,Native,0,1
Panama,Rachycentron canadum,31,PAN,591,562.9,591,Southwestern Caribbean,1,562.9,Native,0,1
Puerto Rico,Rachycentron canadum,31,PRI,630,11,630,Greater Antilles,1,11,Native,0,1
Singapore,Rachycentron canadum,71,SGP,702,1.879214286,702,Malacca Strait,1,1.879214286,Native,0,1
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Southern Vietnam,2,1477.333334,Native,0,1
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Gulf of Tonkin,2,1477.333334,Native,0,1
Australia,Salmo salar,81,AUS,36,38227.8367,36,Bassian,1,38227.8367,Introduced,1,0
Canada,Salmo salar,21,CAN,124,29922.4,124,Northern Grand Banks - Southern Labrador,3,9974.133333,Native,0,1
Canada,Salmo salar,21,CAN,124,29922.4,124,Gulf of St. Lawrence - Eastern Scotian Shelf,3,9974.133333,Native,0,1
Canada,Salmo salar,21,CAN,124,29922.4,124,Southern Grand Banks - South Newfoundland,3,9974.133333,Native,0,1
Canada,Salmo salar,67,CAN,124,76496.9,124,North American Pacific Fijordland,5,15299.38,Introduced,1,0
Canada,Salmo salar,67,CAN,124,76496.9,124,"Oregon, Washington, Vancouver Coast and Shelf",5,15299.38,Introduced,1,0
Canada,Salmo salar,67,CAN,124,76496.9,124,Gulf of Maine/Bay of Fundy,5,15299.38,Native,0,1
Canada,Salmo salar,67,CAN,124,76496.9,124,Scotian Shelf,5,15299.38,Native,0,1
Canada,Salmo salar,67,CAN,124,76496.9,124,Puget Trough/Georgia Basin,5,15299.38,Introduced,1,0
Chile,Salmo salar,87,CHL,152,394379.1,152,Channels and Fjords of Southern Chile,2,59156.865,Introduced,1,0
Chile,Salmo salar,87,CHL,152,394379.1,152,Chiloense,2,335222.235,Introduced,1,0
Faroe Islands,Salmo salar,27,FRO,234,62078.5,234,Faroe Plateau,1,62078.5,Native,0,1
France,Salmo salar,27,FRA,250,667,250,South European Atlantic Shelf,2,1.558110111,Native,0,1
France,Salmo salar,27,FRA,250,667,250,North Sea,2,246.0363039,Native,0,1
Iceland,Salmo salar,27,ISL,352,100.3333333,352,South and West Iceland,1,100.3333333,Native,0,1
Ireland,Salmo salar,27,IRL,372,11958.55,372,Celtic Seas,1,11958.55,Native,0,1
"Korea, Dem. People's Rep",Salmo salar,61,PRK,408,13.88888889,408,Sea of Japan/East Sea,1,13.88888889,Introduced,1,0
Norway,Salmo salar,27,NOR,578,1054496.75,578,Northern Norway and Finnmark,2,679419.2958,Native,0,1
Norway,Salmo salar,27,NOR,578,1054496.75,578,Southern Norway,2,851359.5601,Native,0,1
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Black Sea,4,2234.275,Introduced,1,0
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,White Sea,4,2234.275,Native,0,1
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Okhotsk,4,2234.275,Introduced,1,0
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Japan/East Sea,4,2234.275,Introduced,1,0
Spain,Salmo salar,27,ESP,724,20.9947,724,South European Atlantic Shelf,1,20.9947,Native,0,1
Sweden,Salmo salar,27,SWE,752,1.666666667,752,Baltic Sea,1,1.666666667,Native,0,1
United Kingdom,Salmo salar,27,GBR,826,155714.678,826,Celtic Seas,1,155714.678,Native,0,1
United States of America,Salmo salar,21,USA,840,17170.3,840,"Oregon, Washington, Vancouver Coast and Shelf",3,5723.433333,Introduced,1,0
