country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Panama,Rachycentron canadum,31,PAN,591,562.9,591,Southwestern Caribbean
Philippines,Chanos chanos,71,PHL,608,102289,608,Eastern Philippines
Philippines,Trachinotus blochii,71,PHL,608,202.6666667,608,Eastern Philippines
Philippines,Chanos chanos,71,PHL,608,102289,608,Sulawesi Sea/Makassar Strait
Philippines,Trachinotus blochii,71,PHL,608,202.6666667,608,Sulawesi Sea/Makassar Strait
Portugal,Argyrosomus regius,27,PRT,620,27.6746,620,South European Atlantic Shelf
Portugal,Dicentrarchus labrax,27,PRT,620,360.0343,620,South European Atlantic Shelf
Portugal,Scophthalmus maximus,27,PRT,620,2245.2021,620,South European Atlantic Shelf
Portugal,Sparus aurata,27,PRT,620,977.2208,620,South European Atlantic Shelf
Portugal,Thunnus thynnus,27,PRT,620,25,620,South European Atlantic Shelf
Puerto Rico,Rachycentron canadum,31,PRI,630,11,630,Greater Antilles
Reunion,Sciaenops ocellatus,51,REU,638,50,638,Mascarene Islands
Romania,Scophthalmus maximus,37,ROU,642,6.175555556,642,Black Sea
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Black Sea
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,White Sea
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Okhotsk
Russian Federation,Salmo salar,27,RUS,643,8937.1,643,Sea of Japan/East Sea
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Northern and Central Red Sea
Saudi Arabia,Dicentrarchus labrax,51,SAU,682,300,682,Southern Red Sea
Saudi Arabia,Sparus aurata,51,SAU,682,1487.8,682,Northern and Central Red Sea
Saudi Arabia,Sparus aurata,51,SAU,682,1487.8,682,Southern Red Sea
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Southern Red Sea
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Southern Red Sea
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Northern and Central Red Sea
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Northern and Central Red Sea
Singapore,Rachycentron canadum,71,SGP,702,1.879214286,702,Malacca Strait
Singapore,Chanos chanos,71,SGP,702,1615.8152,702,Malacca Strait
Singapore,Lates calcarifer,71,SGP,702,440.8723,702,Malacca Strait
Singapore,Mugil cephalus,71,SGP,702,416.594,702,Malacca Strait
Singapore,Trachinotus blochii,71,SGP,702,108.4564,702,Malacca Strait
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Southern Vietnam
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Gulf of Tonkin
Slovenia,Dicentrarchus labrax,37,SVN,705,53.54,705,Adriatic Sea
Spain,Argyrosomus regius,27,ESP,724,15.683,724,South European Atlantic Shelf
Spain,Dicentrarchus labrax,27,ESP,724,619.9325625,724,South European Atlantic Shelf
Spain,Oncorhynchus mykiss,27,ESP,724,5.225,724,South European Atlantic Shelf
Spain,Salmo salar,27,ESP,724,20.9947,724,South European Atlantic Shelf
Spain,Scophthalmus maximus,27,ESP,724,7334.5908,724,South European Atlantic Shelf
Spain,Sparus aurata,27,ESP,724,1152.268333,724,South European Atlantic Shelf
Spain,Dicentrarchus labrax,34,ESP,724,4172.342667,724,Azores Canaries Madeira
Spain,Sparus aurata,34,ESP,724,2611.248667,724,Azores Canaries Madeira
Spain,Sparus aurata,34,ESP,724,2611.248667,724,Azores Canaries Madeira
Spain,Argyrosomus regius,37,ESP,724,1061.4367,724,Alboran Sea
Spain,Argyrosomus regius,37,ESP,724,1061.4367,724,Western Mediterranean
Spain,Dicentrarchus labrax,37,ESP,724,9548.92465,724,Alboran Sea
Spain,Dicentrarchus labrax,37,ESP,724,9548.92465,724,Western Mediterranean
Spain,Scophthalmus maximus,37,ESP,724,3,724,Western Mediterranean
Spain,Sparus aurata,37,ESP,724,14640.25795,724,Alboran Sea
Spain,Sparus aurata,37,ESP,724,14640.25795,724,Western Mediterranean
Spain,Thunnus thynnus,37,ESP,724,590.5,724,Alboran Sea
Spain,Thunnus thynnus,37,ESP,724,590.5,724,Western Mediterranean
Sweden,Oncorhynchus mykiss,27,SWE,752,2411.2,752,Baltic Sea
Sweden,Salmo salar,27,SWE,752,1.666666667,752,Baltic Sea
United Arab Emirates,Dicentrarchus labrax,51,ARE,784,166.6666667,784,Arabian (Persian) Gulf
United Arab Emirates,Dicentrarchus labrax,51,ARE,784,166.6666667,784,Gulf of Oman
United Arab Emirates,Sparus aurata,51,ARE,784,307.7,784,Arabian (Persian) Gulf
United Arab Emirates,Sparus aurata,51,ARE,784,307.7,784,Gulf of Oman
Tunisia,Argyrosomus regius,37,TUN,788,40,788,Tunisian Plateau/Gulf of Sidra
Tunisia,Thunnus thynnus,37,TUN,788,304.6,788,Tunisian Plateau/Gulf of Sidra
Turkey,Argyrosomus regius,37,TUR,792,2848.333333,792,Aegean Sea
Turkey,Dicentrarchus labrax,37,TUR,792,59962.15,792,Aegean Sea
Turkey,Oncorhynchus mykiss,37,TUR,792,4952.82,792,Aegean Sea
Turkey,Sparus aurata,37,TUR,792,37229.11,792,Aegean Sea
