country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Saudi Arabia,Sparus aurata,51,SAU,682,1487.8,682,Southern Red Sea,2,743.9
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Southern Red Sea,2,603.5
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Southern Red Sea,2,19.1
Saudi Arabia,Lates calcarifer,51,SAU,682,1207,682,Northern and Central Red Sea,2,603.5
Saudi Arabia,Mugil cephalus,51,SAU,682,38.2,682,Northern and Central Red Sea,2,19.1
Singapore,Rachycentron canadum,71,SGP,702,1.879214286,702,Malacca Strait,1,1.879214286
Singapore,Chanos chanos,71,SGP,702,1615.8152,702,Malacca Strait,1,1615.8152
Singapore,Lates calcarifer,71,SGP,702,440.8723,702,Malacca Strait,1,440.8723
Singapore,Mugil cephalus,71,SGP,702,416.594,702,Malacca Strait,1,416.594
Singapore,Trachinotus blochii,71,SGP,702,108.4564,702,Malacca Strait,1,108.4564
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Southern Vietnam,2,1477.3333335
Viet Nam,Rachycentron canadum,71,VNM,704,2954.666667,704,Gulf of Tonkin,2,1477.3333335
Slovenia,Dicentrarchus labrax,37,SVN,705,53.54,705,Adriatic Sea,1,53.54
Spain,Argyrosomus regius,27,ESP,724,15.683,724,South European Atlantic Shelf,1,15.683
Spain,Dicentrarchus labrax,27,ESP,724,619.9325625,724,South European Atlantic Shelf,1,619.9325625
Spain,Oncorhynchus mykiss,27,ESP,724,5.225,724,South European Atlantic Shelf,1,5.225
Spain,Salmo salar,27,ESP,724,20.9947,724,South European Atlantic Shelf,1,20.9947
Spain,Scophthalmus maximus,27,ESP,724,7334.5908,724,South European Atlantic Shelf,1,7334.5908
Spain,Sparus aurata,27,ESP,724,1152.268333,724,South European Atlantic Shelf,1,1152.268333
Spain,Dicentrarchus labrax,34,ESP,724,4172.342667,724,Azores Canaries Madeira,1,4172.342667
Spain,Sparus aurata,34,ESP,724,2611.248667,724,Azores Canaries Madeira,1,2611.248667
Spain,Sparus aurata,34,ESP,724,2611.248667,724,Azores Canaries Madeira,1,2611.248667
Spain,Argyrosomus regius,37,ESP,724,1061.4367,724,Alboran Sea,2,530.71835
