ECOREGION,Species,status
Namib,Thunnus thynnus,Native
Natal,Chanos chanos,Native
Natal,Mugil cephalus,Native
Natal,Pseudocaranx dentex,Native
Natal,Rachycentron canadum,Native
Natal,Thunnus maccoyii,Native
Natal,Trachinotus blochii,Native
New Caledonia,Chanos chanos,Native
New Caledonia,Pseudocaranx dentex,Native
New Caledonia,Thunnus orientalis,Native
New Caledonia,Trachinotus blochii,Native
Nicoya,Chanos chanos,Native
Ningaloo,Mugil cephalus,Native
Ningaloo,Pseudocaranx dentex,Native
Ningaloo,Rachycentron canadum,Native
Ningaloo,Thunnus maccoyii,Native
North American Pacific Fijordland,Oncorhynchus kisutch,Native
North American Pacific Fijordland,Oncorhynchus mykiss,Native
North American Pacific Fijordland,Oncorhynchus tshawytscha,Native
North American Pacific Fijordland,Thunnus orientalis,Native
North and East Barents Sea,Gadus morhua,Native
North and East Barents Sea,Salmo salar,Native
North and East Iceland,Gadus morhua,Native
North and East Iceland,Thunnus thynnus,Native
North Patagonian Gulfs,Pagrus pagrus,Native
North Sea,Argyrosomus regius,Native
North Sea,Dicentrarchus labrax,Native
North Sea,Gadus morhua,Native
North Sea,Hippoglossus hippoglossus,Native
North Sea,Salmo salar,Native
North Sea,Scophthalmus maximus,Native
North Sea,Sparus aurata,Native
North Sea,Thunnus thynnus,Native
Northeastern Brazil,Pseudocaranx dentex,Native
Northeastern Brazil,Rachycentron canadum,Native
Northeastern Brazil,Thunnus thynnus,Native
Northeastern Honshu,Acanthopagrus schlegelii,Native
Northeastern Honshu,Chanos chanos,Native
Northeastern Honshu,Larimichthys crocea,Native
Northeastern Honshu,Lateolabrax japonicus,Native
Northeastern Honshu,Lates calcarifer,Native
Northeastern Honshu,Mugil cephalus,Native
Northeastern Honshu,Oncorhynchus kisutch,Native
Northeastern Honshu,Oncorhynchus mykiss,Native
Northeastern Honshu,Oncorhynchus tshawytscha,Native
Northeastern Honshu,Paralichthys olivaceus,Native
Northeastern Honshu,Pseudocaranx dentex,Native
Northeastern Honshu,Rachycentron canadum,Native
Northeastern Honshu,Sebastes schlegelii,Native
Northeastern Honshu,Seriola quinqueradiata,Native
Northeastern Honshu,Takifugu rubripes,Native
Northeastern Honshu,Thunnus orientalis,Native
Northeastern Honshu,Trachurus japonicus,Native
Northeastern New Zealand,Mugil cephalus,Native
Northeastern New Zealand,Pseudocaranx dentex,Native
Northeastern New Zealand,Thunnus maccoyii,Native
Northeastern New Zealand,Thunnus orientalis,Native
Northern and Central Red Sea,Argyrosomus regius,Native
Northern and Central Red Sea,Chanos chanos,Native
Northern and Central Red Sea,Mugil cephalus,Native
Northern and Central Red Sea,Rachycentron canadum,Native
Northern and Central Red Sea,Trachinotus blochii,Native
Northern Bay of Bengal,Chanos chanos,Native
Northern Bay of Bengal,Lates calcarifer,Native
Northern Bay of Bengal,Mugil cephalus,Native
Northern Bay of Bengal,Rachycentron canadum,Native
Northern Bay of Bengal,Trachinotus blochii,Native
Northern California,Chanos chanos,Native
Northern California,Oncorhynchus kisutch,Native
Northern California,Oncorhynchus mykiss,Native
Northern California,Oncorhynchus tshawytscha,Native
Northern California,Thunnus orientalis,Native
Northern Galapagos Islands,Chanos chanos,Native
Northern Galapagos Islands,Thunnus orientalis,Native
Northern Grand Banks - Southern Labrador,Gadus morhua,Native
Northern Grand Banks - Southern Labrador,Hippoglossus hippoglossus,Native
Northern Grand Banks - Southern Labrador,Salmo salar,Native
Northern Grand Banks - Southern Labrador,Thunnus thynnus,Native
Northern Gulf of Mexico,Mugil cephalus,Native
Northern Gulf of Mexico,Pagrus pagrus,Native
Northern Gulf of Mexico,Rachycentron canadum,Native
Northern Gulf of Mexico,Sciaenops ocellatus,Native
Northern Gulf of Mexico,Thunnus thynnus,Native
Northern Labrador,Gadus morhua,Native
Northern Labrador,Hippoglossus hippoglossus,Native
Northern Labrador,Salmo salar,Native
Northern Norway and Finnmark,Dicentrarchus labrax,Native
Northern Norway and Finnmark,Gadus morhua,Native
Northern Norway and Finnmark,Hippoglossus hippoglossus,Native
Northern Norway and Finnmark,Salmo salar,Native
Northern Norway and Finnmark,Scophthalmus maximus,Native
Northern Norway and Finnmark,Thunnus thynnus,Native
Ogasawara Islands,Pseudocaranx dentex,Native
