REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,Canada,Oncorhynchus mykiss,200,5,40,Introduced
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Scotian Shelf,Canada,Oncorhynchus mykiss,200,5,40,Introduced
Temperate Northern Pacific,Cold Temperate Northeast Pacific,Puget Trough/Georgia Basin,Canada,Oncorhynchus mykiss,200,5,40,Native
Temperate South America,Magellanic,Channels and Fjords of Southern Chile,Chile,Oncorhynchus mykiss,158339.1,2,44334.948,Introduced
Temperate South America,Magellanic,Chiloense,Chile,Oncorhynchus mykiss,158339.1,2,114004.152,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Croatia,Oncorhynchus mykiss,2.084875,1,2.084875,Introduced
Temperate Northern Atlantic,Northern European Seas,North Sea,Denmark,Oncorhynchus mykiss,10453.928,1,10453.928,Introduced
Temperate Northern Atlantic,Northern European Seas,Faroe Plateau,Faroe Islands,Oncorhynchus mykiss,5351.4,1,5351.4,Introduced
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,France,Oncorhynchus mykiss,29.8,2,14.9,Introduced
Temperate Northern Atlantic,Northern European Seas,North Sea,France,Oncorhynchus mykiss,29.8,2,14.9,Introduced
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,Ireland,Oncorhynchus mykiss,472.7714286,1,472.7714286,Introduced
Temperate Northern Atlantic,Northern European Seas,Northern Norway and Finnmark,Norway,Oncorhynchus mykiss,72523.549,2,13970.8633,Introduced
Temperate Northern Atlantic,Northern European Seas,Southern Norway,Norway,Oncorhynchus mykiss,72523.549,2,58552.6857,Introduced
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Spain,Oncorhynchus mykiss,5.225,1,5.225,Introduced
Temperate Northern Atlantic,Northern European Seas,Baltic Sea,Sweden,Oncorhynchus mykiss,2411.2,1,2411.2,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Turkey,Oncorhynchus mykiss,4952.82,3,79.40392786,Introduced
Temperate Northern Atlantic,Black Sea,Black Sea,Turkey,Oncorhynchus mykiss,4952.82,3,4873.416072,Introduced
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,United Kingdom,Oncorhynchus mykiss,2474.9,1,2474.9,Introduced
Temperate South America,Magellanic,Chiloense,Chile,Oncorhynchus tshawytscha,698.7,2,349.35,Introduced
Temperate Australasia,Southern New Zealand,Central New Zealand,New Zealand,Oncorhynchus tshawytscha,11113.7,1,11113.7,Introduced
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Taiwan Province of China,Pagrus auratus,60,3,20,Native
Central Indo-Pacific,South China Sea,Southern China,Taiwan Province of China,Pagrus auratus,60,3,20,Native
Central Indo-Pacific,South Kuroshio,South Kuroshio,Taiwan Province of China,Pagrus auratus,60,3,20,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,Central Kuroshio Current,Japan,Pagrus auratus,64378.9,4,57727.23737,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Japan,Pagrus auratus,64378.9,4,5923.763429,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,Japan,Pagrus auratus,64378.9,4,645.2723677,Introduced
